"Houston, TX",TX,366000.0
"Sherman, TX",TX,365248.0
"Atlantic City, NJ",NJ,364800.0
"Augusta, ME",ME,363300.0
"Mount Pleasant, TX",TX,361600.0
"Huntsville, AL",AL,361567.0
"Richmond, VA",VA,361317.0
"Arcadia, FL",FL,360967.0
"Nogales, AZ",AZ,360833.0
"Pensacola, FL",FL,360650.0
"Watertown, SD",SD,360617.0
"Seneca, SC",SC,359983.0
"Holland, MI",MI,359933.0
"Oxford, MS",MS,359798.0
"Niles, MI",MI,359750.0
"Craig, CO",CO,359100.0
"Huntsville, TX",TX,358668.0
"Alexander City, AL",AL,358667.0
"Pahrump, NV",NV,358667.0
"Dayton, TN",TN,358133.0
"Lexington, KY",KY,358050.0
"Rutland, VT",VT,357300.0
"Green Bay, WI",WI,354633.0
"Lawrence, KS",KS,354317.0
"Uvalde, TX",TX,353333.0
"Elko, NV",NV,352833.0
"San Antonio, TX",TX,352667.0
"Cookeville, TN",TN,352467.0
"Mountain Home, ID",ID,352367.0
"Evanston, WY",WY,352283.0
"Othello, WA",WA,352000.0
"Las Cruces, NM",NM,351600.0
"Bismarck, ND",ND,351583.0
"Baltimore, MD",MD,349998.0
"Virginia Beach, VA",VA,349933.0
"Lakeland, FL",FL,349933.0
"Sioux Falls, SD",SD,349933.0
"New Haven, CT",CT,349900.0
"Pueblo, CO",CO,349600.0
"Bloomington, IN",IN,349050.0
"Cornelia, GA",GA,348966.0
"Harrisonburg, VA",VA,348933.0
"Cleveland, TN",TN,348233.0
"East Stroudsburg, PA",PA,347950.0
"Faribault, MN",MN,347317.0
"Johnson City, TN",TN,347131.0
"Klamath Falls, OR",OR,346617.0
"Watertown, WI",WI,346600.0
"Dover, DE",DE,346483.0
"Hartford, CT",CT,346267.0
"Crossville, TN",TN,346267.0
"Gainesville, FL",FL,346000.0
"Greenville, SC",SC,345933.0
"Grand Rapids, MI",MI,345900.0
"Springfield, MA",MA,344933.0
"Rochester, MN",MN,344917.0
"Hermiston, OR",OR,343108.0
"Columbus, OH",OH,341533.0
"Winnemucca, NV",NV,340650.0
"Chicago, IL",IL,339967.0
"Brookings, SD",SD,339950.0
"Punta Gorda, FL",FL,339900.0
"Myrtle Beach, SC",SC,339612.0
"Sanford, NC",NC,338442.0
"Newport, TN",TN,337117.0
"El Centro, CA",CA,336667.0
"Washington, NC",NC,334650.0
"Gettysburg, PA",PA,334000.0
"Jacksonville, TX",TX,333400.0
"Allentown, PA",PA,333317.0
"Corpus Christi, TX",TX,332633.0
"Thomasville, GA",GA,329967.0
"Lancaster, PA",PA,329133.0
"Ithaca, NY",NY,328817.0
